Title,Year of Release,Rating,Number of Reviews,Popularity Index,Movie Cast,Director,Description
Jo Jeeta Wohi Sikandar,1992,8.2,23K,"39,449","['Aamir Khan', 'Ayesha Jhulka', 'Deepak Tijori', 'Pooja Bedi', 'Kulbhushan Kharbanda', 'Mamik Singh', 'Kiran Zaveri', 'Ahmed Khan', 'Ravindra Kapoor', 'Deb Mukherjee', 'Aditya Lakhia', 'Deven Bhojani', 'Miki Khan', 'Prakash', 'Sooraj Thapar', 'Bobby Khanna', 'Sanam Oberoi', 'Shehnaz Kudia']",Mansoor Khan,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race."
Papanasam,2015,8.4,7.4K,"21,224","['Kamal Haasan', 'Gautami', 'Nivetha Thomas', 'Esther Anil', 'Asha Sharath', 'Kalabhavan Mani', 'Anant Mahadevan', 'Roshan Basheer', 'M.S. Bhaskar', 'Aruldoss', 'Charlie', 'Delhi Ganesh', 'Sree Raam', 'Ilavarasu', 'Vaiyapuri', 'Shanthi Williams']",Jeethu Joseph,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.
Pudhu Pettai,2006,8.5,6.5K,"34,656","['Dhanush', 'Sneha', 'Sonia Agarwal', 'Azhagam Perumal', 'Bala Singh', 'Prudhviraj', 'Thennavan', 'Murugadass', 'Munnar Ramesh', 'Bharati Mani', 'Nitish', 'Sai Dheena', 'Pasi Sathya', 'Pudhupettai Suresh', 'Vijay Sethupathi']",K. Selvaraghavan,"After running away from his home, Kumar falls in with a gang and slowly rises through the ranks of the criminal underworld."
Pyaasa,1957,8.3,6.4K,"34,976","['Guru Dutt', 'Waheeda Rehman', 'Mala Sinha', 'Rehman Khan', 'Johnny Walker', 'Kumkum', 'Leela Mishra', 'Shyam', 'Mehmood', 'Radheshyam', 'Tun Tun', 'Maya Dass', 'Moni Chatterjee', 'Ashita', 'Neel Kamal', 'Mohan Sandow', 'Rajendra', 'Tulsi Chakraborty']",Guru Dutt,A talented but indigent poet Vijay struggles for love and recognition in this selfish world.
Mandela,2021,8.4,6.9K,"19,905","['Yogi Babu', 'Sheela Rajkumar', 'Sangili Murugan', 'Mukesh', 'G.M. Sundar', 'Kanna Ravi', 'Shankar Thas', 'Douglas Kumaramoorthy', 'Kalki', 'A. Gunaseelan', 'Aaru Bala', 'Prasanna Balachandran', 'Pandiammal', 'Senthikumari', 'Deepa Shankar', 'George Maryan', 'Saranya Ravichandran', 'Subadhini Subramanian']",Madonne Ashwin,A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.
Munna Bhai M.B.B.S.,2003,8.1,81K,"15,640","['Sanjay Dutt', 'Arshad Warsi', 'Gracy Singh', 'Boman Irani', 'Sunil Dutt', 'Rohini Hattangadi', 'Kurush Deboo', 'Jimmy Shergill', 'Yatin Karyekar', 'Khurshed Lawyer', 'Bomie E. Dotiwala', 'Rohitash Gaud', 'Priya Bapat', 'Rita Puri', 'Surendra Rajan', 'Mumait Khan', 'Suresh Chatwal', 'Atul Srivastava']",Rajkumar Hirani,A gangster sets out to fulfill his father's dream of becoming a doctor.
PK,2014,8.1,182K,"3,358","['Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt', 'Boman Irani', 'Saurabh Shukla', 'Sushant Singh Rajput', 'Parikshit Sahni', 'Amardeep Jha', 'Plabita Borthakur', 'Maanvi Gagroo', 'Tia Sharma', 'Sanjiv Kishinchandani', 'Rajinder Sharma Nanu', 'Sachin Parikh', 'Ram Sethi', 'Shaji Chaudhary', 'Ignace De Groote', ""Donder In t' Hooi""]",Rajkumar Hirani,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
Soodhu Kavvum,2013,8.3,10K,"47,429","['Vijay Sethupathi', 'Sanchita Shetty', 'Radha Ravi', 'M.S. Bhaskar', 'Karunakaran', 'Bobby Simha', 'Ramesh Thilak', 'Ashok Selvan', 'Yog Japee', 'Aruldoss', 'Boys Rajan', 'Radha', 'Kannayiram', 'Mippu', 'T. Sivakumar', 'Anjali Rao', 'Yogi Babu', 'Gajaraj']",Nalan Kumarasamy,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case."
Article 15,2019,8.2,33K,"9,355","['Ayushmann Khurrana', 'Nassar', 'Manoj Pahwa', 'Kumud Mishra', 'Isha Talwar', 'Sayani Gupta', 'Mohd. Zeeshan Ayyub', 'Shubhrajyoti Barat', 'Sushil Pandey', 'Aakash Dabhade', 'Ashish Verma', 'Ronjini Chakraborty', 'Veen', 'Sumbul Touqeer', 'Zia Ahmed Khan', 'Raju Pandey', 'Shikha Valmiki', 'Isha Verma']",Anubhav Sinha,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
Uri: The Surgical Strike,2019,8.2,60K,"9,893","['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam', 'Kirti Kulhari', 'Rajit Kapoor', 'Ivan Rodrigues', 'Manasi Parekh', 'Swaroop Sampat', 'Riva Arora', 'Yogesh Soman', 'Fareed Ahmed', 'Akashdeep Arora', 'Kallol Banerjee', 'Amaan Asif', 'Padam Bhola', 'Guru Bhullar', 'Beant Singh Buttar']",Aditya Dhar,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
Queen,2013,8.1,65K,"18,708","['Kangana Ranaut', 'Rajkummar Rao', 'Lisa Haydon', 'Jeffrey Ho', 'Marco Canadea', 'Guithob Joseph', 'Yogendra Tikku', 'Alka Badola Kaushal', 'Tripta Lakhanpal', 'Chinmay Chandraunshuh', 'Nayani Dixit', 'Sabeeka Imam', 'Ayaan Malik', 'Ramesh Kalra', 'Poonam Mathur', 'Mahesh Gahalot', 'Monica Kohli', 'Navnindra Behl']",Vikas Bahl,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
Talvar,2015,8.1,35K,"10,709","['Irrfan Khan', 'Konkona Sen Sharma', 'Neeraj Kabi', 'Sohum Shah', 'Atul Kumar', 'Gajraj Rao', 'Prakash Belawadi', 'Shishir Sharma', 'Deepak Arora', 'Sakshi Bhatia', 'Purnendu Bhattacharya', 'Sandeep Dhabale', 'Vijay Kumar Dogra', 'Sumit Gulati', 'Vipin Katyal', 'Kiran Khoje', 'Abhijeet Lahiri', 'Somen Mishra']",Meghna Gulzar,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
Kaakkaa Muttai,2014,8.3,7K,"26,846","['Ramesh', 'J. Vignesh', 'Aishwarya Rajesh', 'Ramesh Thilak', 'Joe Malloori', 'Babu Antony', 'Yogi Babu', 'Krishnamoorthy', 'Silambarasan Rajendar', 'Nivas Adithan', 'Mozammel Hoshen Chowdhury', 'Vishwa Kumar', 'Santhi Mani', 'Vijay Muthu', 'K Muthukumar', 'Vazhakku En Muthuraman']",M. Manikandan,Two slum kids yearn to taste a pizza after being enticed by the pizza shop that has opened near their locality. What happens when they manage to find the money to buy one?
Lagaan: Once Upon A Time in India,2001,8.1,113K,"7,156","['Aamir Khan', 'Raghuvir Yadav', 'Gracy Singh', 'Rachel Shelley', 'Paul Blackthorne', 'Suhasini Mulay', 'Kulbhushan Kharbanda', 'Rajendra Gupta', 'Rajesh Vivek', 'Shri Vallabh Vyas', 'Javed Khan Amrohi', 'Raj Zutshi', 'Akhilendra Mishra', 'Dayashankar Pandey', 'Yashpal Sharma', 'Amin Hajee', 'Pradeep Singh Rawat', 'Aditya Lakhia']",Ashutosh Gowariker,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
OMG: Oh My God!,2012,8.1,58K,"19,495","['Paresh Rawal', 'Akshay Kumar', 'Mithun Chakraborty', 'Mahesh Manjrekar', 'Govind Namdeo', 'Om Puri', 'Lubna Salim', 'Nikhil Ratnaparkhi', 'Murli Sharma', 'Poonam Jhawer', 'Yusuf Hussain', 'Jaineeraj Rajpurohit', 'Nidhi Subbaiah', 'Apoorva Arora', 'Azaan Shah', 'Honey Chhaya', 'Krunal Pandit', 'Bhakti Ratnaparkhi']",Umesh Shukla,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
Jigarthanda,2014,8.2,12K,"29,070","['Siddharth', 'Bobby Simha', 'Lakshmi Menon', 'Nassar', 'Aadukalam Naren', 'Guru Somasundaram', 'Karunakaran', 'Sangili Murugan', 'Delhi Ganesh', 'Ambika', 'Sudha', 'Bagavathi Perumal', 'Rajkumar', 'Vinodhini Vaidynathan', 'Ramachandran Durairaj', 'Soundararaja', 'Kaalaiyan', 'Thennavan']",Karthik Subbaraj,"An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan."
Sarfarosh,1999,8.1,26K,"25,138","['Aamir Khan', 'Naseeruddin Shah', 'Sonali Bendre', 'Mukesh Rishi', 'Akash Khurana', 'Smita Jaykar', 'Sukanya Kulkarni', 'Ahmed Khan', 'Pradeep Singh Rawat', 'Makrand Deshpande', 'Shri Vallabh Vyas', 'Rajesh Joshi', 'Ali Khan', 'Upasna Singh', 'Salim Shah', 'Manoj Joshi', 'Ramesh Goyal', 'Khodus Wadia']",John Mathew Matthan,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
Udaan,2010,8.1,45K,"22,140","['Rajat Barmecha', 'Ronit Roy', 'Manjot Singh', 'Ram Kapoor', 'Raja Hudda', 'Varun Khettry', 'Shashi Sharma', 'Khushkeran Singh Sandhu', 'Jayanta Das', 'Akantuk Sharma', 'Sahil Sahota', 'Aayan Boradia', 'Sonia Raisurana', 'Mohammad Nizam', 'Arvind Kumar', 'Siddharth Sen', 'Anand Tiwari', 'Shaunak Sengupta']",Vikramaditya Motwane,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
Barfi!,2012,8.1,81K,"9,038","['Ranbir Kapoor', 'Priyanka Chopra Jonas', ""Ileana D'Cruz"", 'Saurabh Shukla', 'Roopa Ganguly', 'Ashish Vidyarthi', 'Bholaraj Sapkota', 'Jisshu Sengupta', 'Haradhan Bannerjee', 'Akash Khurana', 'Arun Bali', 'Uday Tikekar', 'Preiti Mamgain', 'Sumona Chakravarti', 'Sujata Sehgal', 'Kenneth Desai', 'Neeraj Khetrapal', 'Rajeev Mishra']",Anurag Basu,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
Theeran Adhigaaram Ondru,2017,8.2,14K,"10,794","['Karthi', 'Rakul Preet Singh', 'Abhimanyu Singh', 'Bose Venkat', 'Praveena', 'Manobala', 'Sathyan', 'Sonia', 'R.N.R. Manohar', 'Kishore Kadam', 'Mathew Varghese', 'Rohit Pathak', 'Narra Srinivas', 'Surender Thakur', 'Prayas Mann', 'Jameel Khan', 'Kalyani Natarajan', 'Ammu Abhirami']",H. Vinoth,"Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern."
Sholay,1975,8.1,55K,"14,041","['Sanjeev Kumar', 'Dharmendra', 'Amitabh Bachchan', 'Amjad Khan', 'Hema Malini', 'Jaya Bachchan', 'A.K. Hangal', 'Satyendra Kapoor', 'Iftekhar', 'Leela Mishra', 'Mac Mohan', 'Sachin Pilgaonkar', 'Govardhan Asrani', 'Viju Khote', 'Major Anand', 'Bihari', 'Alankar Joshi', 'Keshto Mukherjee']",Ramesh Sippy,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
Hera Pheri,2000,8.1,66K,"17,834","['Akshay Kumar', 'Suniel Shetty', 'Paresh Rawal', 'Tabu', 'Om Puri', 'Gulshan Grover', 'Kulbhushan Kharbanda', 'Mukesh Khanna', 'Govardhan Asrani', 'Razak Khan', 'Kashmira Shah', 'Sulabha Arya', 'Mushtaq Khan', 'Dinesh Hingoo', 'Rajeev Mehta', 'Jaydutt Vyas', 'Sharad Sankla', 'Namrata Shirodkar']",Priyadarshan,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
Ustad Hotel,2012,8.2,14K,"31,751","['Dulquer Salmaan', 'Thilakan', 'Siddique', 'Nithya Menen', 'Assim Jamal', 'Mammukoya', 'Kunchan', 'V. Jayaprakash', 'Maniyanpilla Raju', 'Mohammed Fizan', 'Praveena', 'Lena', 'Meghna Nair', 'Mythili', 'Sija Rose', 'Dominica', 'Jagapathi Babu', 'Bhagath Baby Manuel']",Anwar Rasheed,"Faisi wants to go to UK to become a professional chef but circumstances force him to assist his grandfather in a small restaurant in Kozhikode city, changing his outlook on life forever."
The Legend of Bhagat Singh,2002,8.1,16K,"35,172","['Ajay Devgn', 'Sushant Singh', 'D. Santosh', 'Akhilendra Mishra', 'Raj Babbar', 'Farida Jalal', 'Amrita Rao', 'Mukesh Tiwari', 'Surendra Rajan', 'Saurabh Dubey', 'Swaroop Kumar', 'Arun Patwardhan', 'Kenneth Desai', 'Sitaram Panchal', 'Bhaswar Chatterjee', 'Amit Dhawan', 'Harsh Khurana', 'Kapil Sharma']",Rajkumar Santoshi,The story of a young revolutionary who raised an armed resistance against the British rule in India.
Color It Yellow,2006,8.1,119K,"9,967","['Aamir Khan', 'Soha Ali Khan', 'Siddharth', 'Sharman Joshi', 'Kunal Kapoor', 'Atul Kulkarni', 'Alice Patten', 'Madhavan', 'Waheeda Rehman', 'Anupam Kher', 'Kirron Kher', 'Om Puri', 'Steven Mackintosh', 'Lekh Tandon', 'Cyrus Sahukar', 'Mohan Agashe', 'Asif Ali Baig', 'Abhishek Banerjee']",Rakeysh Omprakash Mehra,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Angoor,1982,8.3,5.4K,"37,309","['Sanjeev Kumar', 'Moushumi Chatterjee', 'Deven Verma', 'Aruna Irani', 'Deepti Naval', 'Padma Chavan', 'Shammi', 'C.S. Dubey', 'Yunus Parvez', 'T.P. Jain', 'Raj Bharti', 'Rammohan Sharma', 'Kamaldeep', 'Utpal Dutt', 'Vasant', 'Bhola', 'Chandru', 'Prabhakar']",Gulzar,"Based on Shakespeare's 'A Comedy of Errors', this is a story of identical twins (2 pairs) and mistaken identities."
Baasha,1995,8.3,10K,"48,713","['Rajinikanth', 'Nagma', 'Raghuvaran', 'Vijay Kumar', 'Janakaraj', 'Devan', 'Anandraj', 'Sasikumar', 'Sathyapriya', 'Yuvarani', 'Charan Raj', 'Shenbaga', 'Raja Krishnamoorthy', 'Sethu Vinayakam', 'Kavithalaya Krishnan', 'Dhamu', 'Mahanadhi Shankar', 'Narsing Yadav']",Suresh Krishna,"An auto driver, Manikam, desperately tries to hide his dark underworld side to keep his promise to his father."
Baahubali 2: The Conclusion,2017,8.2,95K,"3,113","['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia', 'Sathyaraj', 'Ramya Krishnan', 'Nassar', 'Subbaraju', 'Meka Rama Krishna', 'Rajsekhar Aningi', 'Backagaindancer', 'Seshadev Bag', 'Tanikella Bharani', 'Saidujjaman Durjoy', 'Dvl 08', 'Lahiru Jay', 'Sharad Kelkar', 'Abhinaya Krishna']",S.S. Rajamouli,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
Masaan,2015,8.1,28K,"11,046","['Richa Chadha', 'Sanjay Mishra', 'Vicky Kaushal', 'Pankaj Tripathi', 'Vineet Kumar', 'Bhagwan Tiwari', 'Bhupesh Singh', 'Satya Kam Anand', 'Saurabh Chadhary', 'Mohit Abrol', 'Deepak Agarwal', 'Harsh Agarwal', 'Manish Agrahari', 'Jamal Ahmad', 'Ana', 'Aalok Bhat', 'Amitabh Bhattacharya', 'Shreedhar Dubey']",Neeraj Ghaywan,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
Kahaani,2012,8.1,63K,"22,086","['Vidya Balan', 'Parambrata Chattopadhyay', 'Indraneil Sengupta', 'Nawazuddin Siddiqui', 'Dhritiman Chatterjee', 'Saswata Chatterjee', 'Darshan Jariwala', 'Sk. Azad Ahmed', 'Masood Akhtar', 'Mohd. Faiz Alam', 'Roshni Ali', 'Anindya Pulak Banerjee', 'Kamalika Banerjee', 'Dibyendu Bardhan', 'Paresh Bhowmick', 'Pamela Singh Bhutoria', 'Colleen Blanche', 'Mita Chakraborty']",Sujoy Ghosh,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
Dil Chahta Hai,2001,8.1,72K,"10,208","['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna', 'Preity Zinta', 'Sonali Kulkarni', 'Dimple Kapadia', 'Ayub Khan', 'Rajat Kapoor', 'Suhasini Mulay', 'Ahmed Khan', 'Suchitra Pillai', 'Anjula Bedi', 'Rakesh Pandey', 'Samantha Tremayne', 'Claire', 'Clarence', 'Asad Dadarkar', 'Bomi Doctor']",Farhan Akhtar,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
Maheshinte Prathikaaram,2016,8.3,8.9K,"22,968","['Fahadh Faasil', 'Aparna Balamurali', 'Soubin Shahir', 'Alencier Ley Lopez', 'Anusree', 'Antony Kochi', 'Dileesh Pothan', 'Achuthanandan', 'Leena Antony', 'Jaffer Idukki', 'Jayashankar', 'Lijo Mol Jose', 'Vijilesh Karayad', 'Rajesh Madhavan', 'S.K. Mini', 'Manju Pathrose', 'Harish Pengan', 'Unnimaya Prasad']",Dileesh Pothan,"Mahesh, a studio photographer and studio owner gets into a fight and loses. He ends up taking revenge which leads to certain realizations in his life."
A Wednesday,2008,8.1,78K,"18,936","['Anupam Kher', 'Naseeruddin Shah', 'Virendra Saxena', 'Mahesh Kanual', 'Gaurav Kapoor', 'Aamir Bashir', 'Seema Malik', 'Jaywant Wadkar', 'Deepal Shaw', 'Snehal Dabi', 'Alok Narula', 'Jani Karan', 'Jimmy Shergill', 'Manish Mundra', 'Sabudeen', 'Namrata Sawhney', 'Rajendra Chawla', 'Aayam Mehta']",Neeraj Pandey,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
Virumandi,2004,8.4,6.4K,"25,704","['Kamal Haasan', 'Abhirami', 'Pasupathy', 'Napolean', 'Bala Singh', 'Nassar', 'Rohini', 'Shanmugha Rajan', 'Pyramid Natarajan', 'O.A.K. Sunder', 'Periya Karuppu Thevar', 'Gnanasambandam Gurunathan', 'Karate Raja', 'Sai Dheena', 'S.N. Lakshmi']",Kamal Haasan,A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.
Roja,1992,8.1,13K,"50,019","['Arvind Swamy', 'Madhoo', 'Pankaj Kapur', 'Nassar', 'Shiva Rindani', 'Janakaraj', 'Vaishnavi Mahant', 'Vijaya Chandrika', 'Vatsala Rajagopal', 'C.K. Saraswathi', 'Sathyapriya', 'Sujatha', 'Raju Sundaram']",Mani Ratnam,"A woman from a village in Tamil Nadu marries a sophisticated city dweller and moves with him to Kashmir, where all is rosy - until he gets kidnapped by militants."
Iqbal,2005,8.1,17K,"53,918","['Shreyas Talpade', 'Naseeruddin Shah', 'Shweta Basu Prasad', 'Yatin Karyekar', 'Prateeksha Lonkar', 'Girish Karnad', 'Dilip Salgaonkar', 'Jyoti Joshi', 'Aadarsh Balakrishna', 'Gururaj Manepalli', 'Rajita Joshi', 'Srikanth Chitrao', 'Vikram Inamdar', 'Elahe Hiptoola', 'Balaji Manohar', 'D. Santosh', 'Vibhu Kashyap', 'K. Sridhar']",Nagesh Kukunoor,"Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player."
Nil Battey Sannata,2015,8.2,6.9K,"22,460","['Swara Bhaskar', 'Riya Shukla', 'Ratna Pathak Shah', 'Pankaj Tripathi', 'Vishal Nath', 'Neha Prajapati', 'Prashant Tiwari', 'Sanjay Suri', 'Aditi Tailang', 'Ganesh Kumar', 'Rc Pathak', 'Abhinay Raj Singh']",Ashwiny Iyer Tiwari,A story about a single woman (a Mom) and dreams on her Daughter.
Pink,2016,8.1,45K,"11,775","['Amitabh Bachchan', 'Taapsee Pannu', 'Kirti Kulhari', 'Andrea Tariang', 'Piyush Mishra', 'Angad Bedi', 'Vijay Varma', 'Raashul Tandon', 'Tushar Pandey', 'Dhritiman Chatterjee', 'Mamata Shankar', 'Amit Baisoya', 'S.K. Batra', 'Prashant Bhagia', 'Arjun Chakrabarty', 'Alka Chatwal', 'Sushil Dahiya', 'Sudhanva Deshpande']",Aniruddha Roy Chowdhury,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
Pithamagan,2003,8.3,6.8K,"46,821","['Vikram', 'Suriya', 'Laila', 'Sangeetha', 'Mahadevan', 'Karunas', 'Manobala', 'Motta Rajendran', ""'Ganja' Karuppu"", 'Ramji', 'Swaminathan', 'T.P. Gajendran', 'Stun Shiva', 'Simran', 'Rajesh', 'Mu Ramaswamy', 'Soundar']",Bala,"Chittan, a social outcast, has grown up in a cemetery. A drug dealer finds him a job in a cannabis farm. In prison, he meets a conman, Shakti. This friendship transforms him from his stony existence."
"Carry On, Munna Bhai",2006,8,47K,"27,457","['Sanjay Dutt', 'Arshad Warsi', 'Vidya Balan', 'Boman Irani', 'Dilip Prabhavalkar', 'Dia Mirza', 'Jimmy Shergill', 'Kulbhushan Kharbanda', 'Parikshit Sahni', 'Saurabh Shukla', 'Supriya Shukla', 'Achyut Potdar', 'Atmaram Bhende', 'Arun Bali', 'Bomie E. Dotiwala', 'Abhishek Bachchan', 'Uday Sabnis', 'Rohitash Gaud']",Rajkumar Hirani,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
Kaun Pravin Tambe?,2022,8.5,9.4K,"10,287","['Shreyas Talpade', 'Arif Zakaria', 'Asif Ali', 'Rakesh Bhavsar', 'Parambrata Chattopadhyay', 'Ankur Dabas', 'Chhaya Kadam', 'Gaurav Kamble', 'Arun Nalawade', 'Aditi Patil', 'Anjali Patil', 'Nitin Rao', 'Kamila Ratikant', 'Mishra Shailendra', 'Hemant Soni', 'Trishaan', 'Chirag M Trivedi', 'Varoon Varma']",Jayprad Desai,"An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's career ends, he starts a new chapter of his life."
Shershaah,2021,8.4,118K,"6,122","['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri', 'Sahil Vaid', 'Atul Singh Verma', 'Shataf Figar', 'Vijay Meenu', 'Anil Charanjeett', 'Raj Arjun', 'Abhiroy Singh', 'Jaykartik', 'Nikitin Dheer', 'Himanshu Malhotra', 'Ankur Sharma', 'Trishaan', 'Rakesh Dubey', 'Manmeet Kaur']",Vishnuvardhan,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999."
Charulata,1964,8.1,6.4K,"23,377","['Soumitra Chatterjee', 'Madhavi Mukherjee', 'Shailen Mukherjee', 'Shyamal Ghoshal', 'Gitali Roy', 'Tarapada Basu', 'Gopaldas Bhattacharya', 'Dilip Bose', 'Ramesh Chandra Chandra', 'Sunilkanta Dasgupta', 'Nilotpal Dey', 'Bankim Ghosh', 'Ajit Gupta', 'Bholanath Koyal', 'Kamu Mukherjee', 'Suku Mukherjee', 'Prabhat Sarkar', 'Subrata Sensharma']",Satyajit Ray,"The lonely wife of a newspaper editor falls in love with her visiting cousin-in-law, who shares her love for literature."
Anand,1971,8.1,34K,"26,777","['Rajesh Khanna', 'Amitabh Bachchan', 'Sumita Sanyal', 'Ramesh Deo', 'Seema Deo', 'Asit Kumar Sen', 'Atam Prakash', 'Lalita Kumari', 'Dev Kishan', 'Savita', 'Brahm Bhardwaj', 'Lalita Pawar', 'Durga Khote', 'Gurnam Singh', 'Dara Singh Randhawa', 'Johnny Walker', 'Hafeez Kardar', 'Nusrat Kardar']",Hrishikesh Mukherjee,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Section 375,2019,8.1,16K,"16,687","['Akshaye Khanna', 'Richa Chadha', 'Rahul Bhatt', 'Meera Chopra', 'Shriswara', 'Kishore Kadam', 'Kruttika Desai', 'Sandhya Mridul', 'Shrikant Yadav', 'Vibhawari Deshpande', 'Shama Ninawe', 'Rajendra Shisatkar', 'Anup Choudhary', 'Shahnaaz Deshpande', 'Sahil Chaddha', 'Tanuka Laghate', 'Prajakta Wadaye', 'Narendra Karekar']",Ajay Bahl,"A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence."
Alai Payuthey,2000,8.3,6.5K,"38,850","['Madhavan', 'Shalini', 'Swarnamalya', 'V. Natarajan', 'K.P.A.C. Lalitha', 'Ravi Prakash', 'Jayasudha', 'Vivek', 'Sukumari', 'Azhagam Perumal', 'Karthik Kumar', 'Arvind Swamy', 'Kushboo', 'Venu Arvind', 'Kumar Natarajan', 'Rangammal']",Mani Ratnam,"After a difficult romance in a class-divided society, the love birds find out marriage is not what they thought it would be."
Jana Gana Mana,2022,8.3,9.9K,"2,178","['Prithviraj Sukumaran', 'Suraj Venjaramoodu', 'Mamta Mohandas', 'Mammootty', 'Vincy Aloshious', 'Dhanya Ananya', 'Rajesh Babu', 'Raja Krishnamoorthy', 'Sri Divya', 'Dhruvan', 'Pasupathi Raj', 'Shammi Thilakan', 'Ilavarasu', 'Priyanka Nair', 'G.M. Sundar', 'Vinod Sagar', 'Vaishnavi Venugopal', 'Harikrishnan']",Dijo Jose Antony,"As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the the courtroom."
Bajrang Bhaijaan,2015,8.1,86K,"9,687","['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui', 'Kareena Kapoor', 'Sharat Saxena', 'Alka Badola Kaushal', 'Om Puri', 'Meher Vij', 'Rajesh Sharma', 'Mir Sarwar', 'Khushaal Pawar', 'Krunal Pandit', 'Manoj Bakshi', 'Mursaleem Qureshi', 'Yudhvir Dahiya', 'Adnan Sami', 'Sunil Chitkara', 'Habib Azmi']",Kabir Khan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
Omkara,2006,8.1,21K,"15,652","['Ajay Devgn', 'Kareena Kapoor', 'Saif Ali Khan', 'Konkona Sen Sharma', 'Vivek Oberoi', 'Bipasha Basu', 'Naseeruddin Shah', 'Deepak Dobriyal', 'Pankaj Tripathi', 'Kamal Tiwari', 'Manav Kaushik', 'Avtar Sahani', 'Santosh Kaushik', 'Rahul Kumar']",Vishal Bhardwaj,A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.
Lucia,2013,8.3,12K,"50,467","['Sathish Neenasam', 'Sruthi Hariharan', 'Achyuth Kumar', 'Sabreen Baker', 'Pawan Kumar', 'Ram Manjjonaath', 'Rishab Shetty', 'Surya Vasishta']",Pawan Kumar,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality."
